// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B457A5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
37988	0	0	0	0	0	0	0	0	8.520998	2.090758	-4.469055	-0.400391	0.401367	-0.043945	0.085212	0.020906	-0.044687	1.000000	0.000017	-0.000037	-0.000031	-0.354323	0.357508	0.864085	0.900931	0.378093	0.212998	-0.250556	0.853952	-0.456057
37989	0	0	0	0	0	0	0	0	8.520555	2.091111	-4.469734	-0.387451	0.406738	-0.046143	0.085208	0.020909	-0.044694	1.000000	0.000009	-0.000037	-0.000024	-0.354383	0.357553	0.864042	0.900910	0.378125	0.213031	-0.250546	0.853919	-0.456125
37990	0	0	0	0	0	0	0	0	8.529264	2.111869	-4.460491	-0.395508	0.404541	-0.043213	0.085295	0.021116	-0.044602	1.000000	-0.000008	-0.000041	-0.000025	-0.354445	0.357604	0.863995	0.900897	0.378130	0.213078	-0.250505	0.853896	-0.456190
37991	0	0	0	0	0	0	0	0	8.493946	2.092189	-4.448080	-0.392578	0.406494	-0.041504	0.084942	0.020921	-0.044476	1.000000	-0.000003	-0.000053	-0.000011	-0.354492	0.357685	0.863942	0.900891	0.378133	0.213100	-0.250462	0.853860	-0.456280
37992	0	0	0	0	0	0	0	0	8.502546	2.112969	-4.439036	-0.396484	0.406494	-0.044434	0.085028	0.021126	-0.044386	1.000000	-0.000019	-0.000054	-0.000028	-0.354570	0.357754	0.863882	0.900880	0.378121	0.213166	-0.250391	0.853836	-0.456364
37993	0	0	0	0	0	0	0	0	8.499331	2.112065	-4.494355	-0.393066	0.399170	-0.042480	0.084996	0.021117	-0.044940	1.000000	-0.000001	-0.000047	-0.000042	-0.354668	0.357802	0.863822	0.900851	0.378150	0.213239	-0.250357	0.853804	-0.456444
37994	0	0	0	0	0	0	0	0	8.492382	2.093877	-4.450271	-0.401123	0.405273	-0.045898	0.084925	0.020937	-0.044501	1.000000	-0.000011	-0.000017	-0.000020	-0.354713	0.357813	0.863799	0.900842	0.378144	0.213285	-0.250324	0.853801	-0.456466
37995	0	0	0	0	0	0	0	0	8.441352	2.102879	-4.481261	-0.400146	0.408936	-0.043701	0.084416	0.021025	-0.044810	1.000000	-0.000023	-0.000036	-0.000032	-0.354790	0.357850	0.863752	0.900830	0.378129	0.213362	-0.250258	0.853793	-0.456518
37996	0	0	0	0	0	0	0	0	8.466667	2.103299	-4.504671	-0.393799	0.406006	-0.031006	0.084668	0.021030	-0.045046	1.000000	-0.000026	-0.000013	-0.000027	-0.354846	0.357847	0.863730	0.900824	0.378103	0.213435	-0.250202	0.853805	-0.456525
37997	0	0	0	0	0	0	0	0	8.416617	2.052607	-4.533630	-0.382813	0.401611	-0.038086	0.084167	0.020523	-0.045336	1.000000	-0.000024	-0.000005	-0.000026	-0.354895	0.357836	0.863715	0.900818	0.378080	0.213502	-0.250155	0.853820	-0.456524
