// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B457A5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
55097	0	0	0	0	0	0	0	0	9.886040	0.545837	0.625335	-0.246338	-0.009766	0.539307	0.098861	0.005456	0.006247	1.000000	0.000116	0.000075	-0.000018	-0.060268	0.057936	0.996499	-0.049382	-0.997265	0.054994	0.996960	-0.045895	0.062964
55098	0	0	0	0	0	0	0	0	9.816712	0.543568	0.669009	-0.263184	-0.006836	0.535400	0.098168	0.005433	0.006680	1.000000	0.000107	0.000110	-0.000016	-0.065480	0.057855	0.996175	-0.042598	-0.997570	0.055136	0.996944	-0.038825	0.067785
55099	0	0	0	0	0	0	0	0	9.857572	0.556592	0.611400	-0.259277	0.001953	0.542725	0.098576	0.005562	0.006106	1.000000	0.000123	0.000085	-0.000030	-0.062971	0.057936	0.996332	-0.045658	-0.997436	0.055115	0.996970	-0.042020	0.065455
55100	0	0	0	0	0	0	0	0	9.849636	0.534107	0.612638	-0.246582	-0.000488	0.546143	0.098497	0.005338	0.006120	1.000000	0.000126	0.000074	-0.000020	-0.063116	0.057982	0.996320	-0.045409	-0.997444	0.055171	0.996973	-0.041760	0.065587
55101	0	0	0	0	0	0	0	0	9.885535	0.548008	0.631390	-0.263916	-0.005615	0.538330	0.098856	0.005479	0.006309	1.000000	0.000118	0.000053	-0.000008	-0.063207	0.057992	0.996314	-0.045153	-0.997454	0.055194	0.996978	-0.041498	0.065665
55102	0	0	0	0	0	0	0	0	9.832863	0.540104	0.644441	-0.249756	0.000000	0.541504	0.098329	0.005401	0.006440	1.000000	0.000143	0.000054	0.000005	-0.063314	0.057987	0.996308	-0.044867	-0.997467	0.055203	0.996985	-0.041206	0.065756
55103	0	0	0	0	0	0	0	0	9.859250	0.583318	0.592280	-0.271973	-0.012939	0.540771	0.098593	0.005832	0.005918	1.000000	0.000096	0.000051	-0.000011	-0.063414	0.058013	0.996300	-0.044678	-0.997473	0.055237	0.996987	-0.041010	0.065846
55104	0	0	0	0	0	0	0	0	9.864968	0.581493	0.616606	-0.267334	-0.006592	0.535156	0.098650	0.005814	0.006163	1.000000	0.000107	0.000032	-0.000007	-0.063478	0.058030	0.996295	-0.044466	-0.997481	0.055266	0.996992	-0.040793	0.065898
55105	0	0	0	0	0	0	0	0	9.834731	0.565829	0.623100	-0.253418	-0.007568	0.533691	0.098347	0.005660	0.006228	1.000000	0.000105	0.000032	0.000026	-0.063538	0.057983	0.996294	-0.044253	-0.997492	0.055231	0.996998	-0.040579	0.065945
55106	0	0	0	0	0	0	0	0	9.864917	0.581265	0.617636	-0.266846	-0.008057	0.534668	0.098649	0.005812	0.006174	1.000000	0.000099	0.000033	0.000005	-0.063605	0.057977	0.996290	-0.044054	-0.997501	0.055235	0.997002	-0.040377	0.066000
55107	0	0	0	0	0	0	0	0	9.812293	0.573111	0.630085	-0.264893	-0.004395	0.541992	0.098123	0.005732	0.006300	1.000000	0.000101	0.000011	0.000015	-0.063619	0.057954	0.996290	-0.043849	-0.997511	0.055225	0.997010	-0.040173	0.066002
55108	0	0	0	0	0	0	0	0	9.837753	0.538913	0.570229	-0.263184	-0.000244	0.543457	0.098377	0.005391	0.005704	1.000000	0.000092	-0.000016	0.000021	-0.063590	0.057910	0.996295	-0.043664	-0.997520	0.055195	0.997020	-0.039992	0.065961
55109	0	0	0	0	0	0	0	0	9.851388	0.559600	0.593521	-0.264160	-0.009033	0.537354	0.098514	0.005598	0.005938	1.000000	0.000103	-0.000023	0.000025	-0.063530	0.057866	0.996301	-0.043454	-0.997531	0.055167	0.997033	-0.039789	0.065887
55110	0	0	0	0	0	0	0	0	9.834822	0.564749	0.622647	-0.248779	-0.005615	0.544922	0.098348	0.005648	0.006230	1.000000	0.000089	-0.000032	0.000015	-0.063468	0.057833	0.996307	-0.043274	-0.997540	0.055148	0.997045	-0.039614	0.065815
55111	0	0	0	0	0	0	0	0	9.851511	0.559129	0.591922	-0.264893	-0.002197	0.540039	0.098515	0.005592	0.005925	1.000000	0.000121	-0.000053	0.000016	-0.063340	0.057806	0.996317	-0.043029	-0.997551	0.055142	0.997064	-0.039378	0.065672
55112	0	0	0	0	0	0	0	0	9.863144	0.554642	0.638237	-0.252197	-0.005127	0.530029	0.098631	0.005549	0.006386	1.000000	0.000082	-0.000031	0.000027	-0.063281	0.057748	0.996324	-0.042862	-0.997561	0.055098	0.997075	-0.039218	0.065602
55113	0	0	0	0	0	0	0	0	9.863228	0.554145	0.637380	-0.270264	-0.002686	0.541016	0.098632	0.005544	0.006379	1.000000	0.000105	-0.000046	0.000035	-0.063162	0.057686	0.996335	-0.042646	-0.997572	0.055055	0.997092	-0.039012	0.065469
55114	0	0	0	0	0	0	0	0	9.835135	0.563234	0.619067	-0.259033	0.001465	0.542969	0.098351	0.005635	0.006194	1.000000	0.000094	-0.000027	0.000031	-0.063111	0.057622	0.996342	-0.042454	-0.997583	0.055004	0.997103	-0.038828	0.065405
55115	0	0	0	0	0	0	0	0	9.857590	0.555241	0.612340	-0.254883	-0.002197	0.545654	0.098576	0.005554	0.006126	1.000000	0.000093	-0.000021	0.000026	-0.063036	0.057582	0.996349	-0.042264	-0.997593	0.054980	0.997116	-0.038644	0.065318
55116	0	0	0	0	0	0	0	0	9.849837	0.531714	0.611488	-0.263672	-0.000244	0.541748	0.098498	0.005319	0.006120	1.000000	0.000092	-0.000043	0.000026	-0.062952	0.057527	0.996357	-0.042077	-0.997603	0.054940	0.997129	-0.038465	0.065222
55117	0	0	0	0	0	0	0	0	9.821732	0.541013	0.593085	-0.256592	-0.014160	0.542236	0.098217	0.005411	0.005935	1.000000	0.000079	-0.000041	0.000017	-0.062831	0.057504	0.996366	-0.041916	-0.997610	0.054933	0.997144	-0.038312	0.065091
55118	0	0	0	0	0	0	0	0	9.869373	0.550250	0.657070	-0.253662	0.001953	0.541260	0.098693	0.005503	0.006575	1.000000	0.000065	-0.000038	0.000007	-0.062755	0.057487	0.996372	-0.041785	-0.997616	0.054927	0.997154	-0.038186	0.065007
55119	0	0	0	0	0	0	0	0	9.863634	0.552200	0.632768	-0.260010	0.004150	0.546631	0.098636	0.005523	0.006330	1.000000	0.000068	-0.000022	0.000013	-0.062666	0.057473	0.996378	-0.041646	-0.997622	0.054925	0.997165	-0.038053	0.064911
55120	0	0	0	0	0	0	0	0	9.833469	0.536467	0.638188	-0.256592	-0.003662	0.543457	0.098334	0.005365	0.006386	1.000000	0.000045	-0.000035	0.000010	-0.062597	0.057450	0.996384	-0.041555	-0.997626	0.054911	0.997173	-0.037968	0.064836
55121	0	0	0	0	0	0	0	0	9.857951	0.553877	0.607738	-0.255615	-0.001465	0.536377	0.098579	0.005540	0.006081	1.000000	0.000058	-0.000038	0.000019	-0.062479	0.057422	0.996393	-0.041435	-0.997632	0.054895	0.997186	-0.037855	0.064710
55122	0	0	0	0	0	0	0	0	9.855987	0.528315	0.630541	-0.254395	-0.000488	0.537354	0.098560	0.005285	0.006309	1.000000	0.000049	-0.000031	0.000026	-0.062419	0.057368	0.996400	-0.041333	-0.997639	0.054850	0.997194	-0.037760	0.064643
55123	0	0	0	0	0	0	0	0	9.852288	0.555199	0.582618	-0.260254	-0.001953	0.541992	0.098523	0.005553	0.005830	1.000000	0.000046	-0.000041	0.000015	-0.062290	0.057346	0.996409	-0.041237	-0.997643	0.054839	0.997206	-0.037673	0.064508
55124	0	0	0	0	0	0	0	0	9.886336	0.543276	0.622885	-0.256348	-0.001709	0.539551	0.098863	0.005434	0.006233	1.000000	0.000036	-0.000039	0.000017	-0.062213	0.057310	0.996416	-0.041163	-0.997648	0.054811	0.997214	-0.037606	0.064426
55125	0	0	0	0	0	0	0	0	9.886409	0.542922	0.622032	-0.248535	-0.003174	0.536133	0.098864	0.005431	0.006225	1.000000	0.000027	-0.000043	0.000023	-0.062070	0.057274	0.996427	-0.041104	-0.997652	0.054783	0.997225	-0.037557	0.064279
